ANNIE HALL	 (Sound and Woody Allen monologue begin)	ALVY	 There's an old joke.  Uh, two elderly women are at a Catskills mountain resort, and one of 'em says: "Boy, the food at this place is really terrible." The other one says, "Yeah, I know, and such ... small portions." Well, that's essentially how I feel about life.  Full of loneliness and misery and suffering and unhappiness, and it's all over much too quickly.  The-the other important joke for me is one that's, uh, usually attributed to Groucho Marx, but I think it appears originally in Freud's wit and its relation to the unconscious.  And it goes like this-I'm paraphrasing: Uh ... "I would never wanna belong to any club that would have someone like me for a member." That's the key joke of my adult life in terms of my relationships with women.  Tsch, you know, lately the strangest things have been going through my mind, 'cause I turned forty, tsch, and I guess I'm going through a life crisis or something, I don't know. I, uh ... and I'm not worried about aging. I'm not one o' those characters, you know. Although I'm balding slightly on top, that's about the worst you can say about me.  I, uh, I think I'm gonna get better as I get older, you know?  I think I'm gonna be the- the balding virile type, you know, as opposed to say the, uh, distinguished gray, for instance, you know?  'Less I'm neither o' those two. Unless I'm one o' those guys with saliva dribbling out of his mouth who wanders into a cafeteria with a shopping bag screaming about socialism. (Sighing) Annie and I broke up and I-I still can't get my mind around that.  You know, I-I keep sifting the pieces of the relationship through my mind and-and examining my life and tryin' to figure out where did the screw-up come, you know, and a year ago we were... tsch, in love.  You know, and-and-and ... And it's funny, I'm not-I'm not a morose type.  I'm not a depressive character. I-I-I, uh, (Laughing) you know, I was a reasonably happy kid, I guess.  I was brought up in Brooklyn during World War II.					Annie Hall 
ALVY	 Yeah, he's the Mafia.  Linen Supply Business or Cement and Contract, you know what I mean?	ANNIE	 (Laughing) Oh, yeah.	ALVY	 No, I'm serious. (Over Annie's laughter) I just got my mustache wet.	ANNIE	 Oh, yeah?	Annie Hall 
ANNIE	 (Laughing) Oh, yeah.	ALVY	 No, I'm serious. (Over Annie's laughter) I just got my mustache wet.	ANNIE	 Oh, yeah?	ALVY	 (As another man walks by) And there's the winner of the Truman Capote look-alike contest.	Annie Hall 
ANNIE	 Oh, yeah?	ALVY	 (As another man walks by) And there's the winner of the Truman Capote look-alike contest.					Annie Hall 
ALVY	 You know what I mean?  Like the tip o'your nose, and if I stroke your teeth or your kneecaps ... you get excited.	ANNIE	 Come on. (Laughing) Yeah.  You know what?  You know, I like you, I really mean it.  I really do like you.	ALVY	 You- Do you love me?	ANNIE	 Do I love you?	Annie Hall 
ALVY	 I know you've only known me a short while.	ANNIE	 Well, I certainly ... I think that's very- Yeah, yeah ... (Laughing) yeah.  Do you love me?	ALVY	 I-uh, love is, uh, is too weak a word for what...	ANNIE	 Yeah.	Annie Hall 
ANNIE	 Yeah.	ALVY	 (Putting his arms around her neck) Don't you think I do?	ANNIE	 I dunno.			Annie Hall 
ALVY	 Whatta you mean?  You're not gonna give up your own apartment, are you?	ANNIE	 (Putting down the carton) Of course.	ALVY	 Yeah, bu-bu-but why?	ANNIE	 Well, I mean, I'm moving in with you, that's why.	Annie Hall 
ALVY	 Yeah, I know it's small.	ANNIE	 (Picking up the suitcases and walking into the bedroom) That's right, and it's got bad plumbing and bugs.	ALVY	 (Picking up some pictures and following Annie into the bedroom) All right, granted, it has bad plumbing and bugs, but you-you say that like it's a negative thing.  You know, bugs are-are-uh, entomology is a ... (Annie, reacting, tosses the suitcases and some loose clothing onto the bed.  She sits down on the edge, looking away. Alvy walks in, pictures and carton in band, still talking) ... rapidly growing field.	ANNIE	 You don't want me to live with you?	Annie Hall 
ANNIE	 (Picking up the suitcases and walking into the bedroom) That's right, and it's got bad plumbing and bugs.	ALVY	 (Picking up some pictures and following Annie into the bedroom) All right, granted, it has bad plumbing and bugs, but you-you say that like it's a negative thing.  You know, bugs are-are-uh, entomology is a ... (Annie, reacting, tosses the suitcases and some loose clothing onto the bed.  She sits down on the edge, looking away. Alvy walks in, pictures and carton in band, still talking) ... rapidly growing field.	ANNIE	 You don't want me to live with you?	ALVY	 How- I don't want you to live with me? How- Whose idea was it?	Annie Hall 
ALVY	 Ye-ah.  Was it ... It was yours actually, but, uh, I approved it immediately.	ANNIE	 I guess you think that I talked you into something, huh? (putting pictures on the mantel)	ALVY	 No-what, what ...? I ... we live together, we sleep together, we eat together.  Jesus, you don't want it to be like we're married, do yuh?	ANNIE	 (Looking up at Alvy) How is it any different?	Annie Hall 
ALVY	 No-what, what ...? I ... we live together, we sleep together, we eat together.  Jesus, you don't want it to be like we're married, do yuh?	ANNIE	 (Looking up at Alvy) How is it any different?	ALVY	 (Gesturing) It's different 'cause you keep your own apartment. (Holding a book, he starts walking around the room) Because you know it's there, we don't have to go to it, we don't have to deal with it, but it's like a-a-a free-floating life raft ... that we know that we're not married.	ANNIE	 (Still sitting on the bed) That little apartment is four hundred dollars a month, Alvy.	Annie Hall 
ANNIE	 (Looking up at Alvy) How is it any different?	ALVY	 (Gesturing) It's different 'cause you keep your own apartment. (Holding a book, he starts walking around the room) Because you know it's there, we don't have to go to it, we don't have to deal with it, but it's like a-a-a free-floating life raft ... that we know that we're not married.	ANNIE	 (Still sitting on the bed) That little apartment is four hundred dollars a month, Alvy.	ALVY	 (Looking at Annie) That place is four hundred dollars a month?	Annie Hall 
ALVY	 (Gesturing) It's different 'cause you keep your own apartment. (Holding a book, he starts walking around the room) Because you know it's there, we don't have to go to it, we don't have to deal with it, but it's like a-a-a free-floating life raft ... that we know that we're not married.	ANNIE	 (Still sitting on the bed) That little apartment is four hundred dollars a month, Alvy.	ALVY	 (Looking at Annie) That place is four hundred dollars a month?	ANNIE	 Yes, it is.	Annie Hall 
ANNIE	 (Still sitting on the bed) That little apartment is four hundred dollars a month, Alvy.	ALVY	 (Looking at Annie) That place is four hundred dollars a month?	ANNIE	 Yes, it is.	ALVY	 (Whistling) It's-it's got bad plumbing and bugs.  Jesus, I'll-My accountant will write it off as a tax deduction, I'll pay for it.	Annie Hall 
ANNIE	 Yes, it is.	ALVY	 (Whistling) It's-it's got bad plumbing and bugs.  Jesus, I'll-My accountant will write it off as a tax deduction, I'll pay for it.	ANNIE	 (Shaking her head) You don't think I'm smart enough to be serious about.	ALVY	 Hey, don't be ridiculous.	Annie Hall 
ALVY	 (Whistling) It's-it's got bad plumbing and bugs.  Jesus, I'll-My accountant will write it off as a tax deduction, I'll pay for it.	ANNIE	 (Shaking her head) You don't think I'm smart enough to be serious about.	ALVY	 Hey, don't be ridiculous.	ANNIE	 Then why are you always pushing me to take those college courses like I was dumb or something?	Annie Hall 
ANNIE	 Then why are you always pushing me to take those college courses like I was dumb or something?	ALVY	 (Putting his hand to his forehead) 'Cause adult education's a wonderful thing. You meet a lotta interesting professors. You know, it's stimulating.					Annie Hall 
ANNIE	 (Reading) Does this sound like a good course? Uh, "Modern American Poetry"?  Uh, or, uh-let's see now ... maybe I should, uh, take "Introduction to the Novel."	ALVY	 Just don't take any course where they make you read Beowulf.	ANNIE	 What? (Laughing) Hey, listen, what-what do you think?  Do you think we should, uh, go to that-that party in Southampton tonight?			Annie Hall 
ALVY	 Just don't take any course where they make you read Beowulf.	ANNIE	 What? (Laughing) Hey, listen, what-what do you think?  Do you think we should, uh, go to that-that party in Southampton tonight?	ALVY	 No, don't be silly.  What-what do we need other people for? (He puts his arms around her neck, kissing her, Annie making muffled sounds) You know, we should-we should just turn out the lights, you know, and play hide and seek or something.	ANNIE	 (Laughing) Well, okay.  Well, listen, I'm gonna get a cigarette, okay?	Annie Hall 
ANNIE	 What? (Laughing) Hey, listen, what-what do you think?  Do you think we should, uh, go to that-that party in Southampton tonight?	ALVY	 No, don't be silly.  What-what do we need other people for? (He puts his arms around her neck, kissing her, Annie making muffled sounds) You know, we should-we should just turn out the lights, you know, and play hide and seek or something.	ANNIE	 (Laughing) Well, okay.  Well, listen, I'm gonna get a cigarette, okay?	ALVY	 (Yelling out to her as she leaves the room) Yeah, grass, right?  The illusion that it will make a white woman more like Billie Holiday.	Annie Hall 
ALVY	 No, don't be silly.  What-what do we need other people for? (He puts his arms around her neck, kissing her, Annie making muffled sounds) You know, we should-we should just turn out the lights, you know, and play hide and seek or something.	ANNIE	 (Laughing) Well, okay.  Well, listen, I'm gonna get a cigarette, okay?	ALVY	 (Yelling out to her as she leaves the room) Yeah, grass, right?  The illusion that it will make a white woman more like Billie Holiday.	ANNIE	 (Off screen) Well, have you ever made love high?	Annie Hall 
ANNIE	 (Laughing) Well, okay.  Well, listen, I'm gonna get a cigarette, okay?	ALVY	 (Yelling out to her as she leaves the room) Yeah, grass, right?  The illusion that it will make a white woman more like Billie Holiday.	ANNIE	 (Off screen) Well, have you ever made love high?	ALVY	 Me, no.  You ... I-I-you know, if I have grass or alcohol or anything I get unbearably wonderful.  I get too, too wonderful for words.  You know, I don't-I don't know why you have to, uh, get high every time we make love.	Annie Hall 
ALVY	 (Yelling out to her as she leaves the room) Yeah, grass, right?  The illusion that it will make a white woman more like Billie Holiday.	ANNIE	 (Off screen) Well, have you ever made love high?	ALVY	 Me, no.  You ... I-I-you know, if I have grass or alcohol or anything I get unbearably wonderful.  I get too, too wonderful for words.  You know, I don't-I don't know why you have to, uh, get high every time we make love.	ANNIE	 (Moving back into the room and lighting a joint) It relaxes me.	Annie Hall 
ALVY	 Me, no.  You ... I-I-you know, if I have grass or alcohol or anything I get unbearably wonderful.  I get too, too wonderful for words.  You know, I don't-I don't know why you have to, uh, get high every time we make love.	ANNIE	 (Moving back into the room and lighting a joint) It relaxes me.	ALVY	 Oh, you-you have to be artificially relaxed before we can go to bed?	ANNIE	 (Closing the door) Well, what's the difference, anyway?	Annie Hall 
ALVY	 Oh, you-you have to be artificially relaxed before we can go to bed?	ANNIE	 (Closing the door) Well, what's the difference, anyway?	ALVY	 Well, I'll give you a shot of sodium pentothal.  You can sleep through it.	ANNIE	 Oh, come on, look who's talking.  You've been seeing a psychiatrist for fifteen years. (She gets into bed and takes a puff of marijuana) You should smoke some o' this.  You'd be off the couch in no time.	Annie Hall 
ALVY	 Well, I'll give you a shot of sodium pentothal.  You can sleep through it.	ANNIE	 Oh, come on, look who's talking.  You've been seeing a psychiatrist for fifteen years. (She gets into bed and takes a puff of marijuana) You should smoke some o' this.  You'd be off the couch in no time.	ALVY	 Oh, come, you don't need that.	ANNIE	 What are you doing?	Annie Hall 
ANNIE	 What are you doing?	ALVY	 (Kissing her) No, no, no, what ... You can once, you can live without it once.  Come on.	ANNIE	 Oh, no, Alvy, please. Alvy, please. (Laughing and making sounds) M'mrnm.	ALVY	 M'm, wait, I got a great idea. (He gets up and goes over to the closet, taking out a light bulb. He goes back to the bed and turns out the lamp on the night table) Hang in there for a second.  I got a little-little artifact.  A little erotic artifact, that-that I brought up from the city, which I think, uh, is gonna be perfect. (He turns the lamp back on, having replaced the bulb with the red one from the closet) I just ... there ... There's a little Old New Orleans ... essence.  Now-now we can go about our business here and we can even develop photographs if we want to.  There, now there. (He undresses and crawls into bed, taking Annie in his arms) M'mmm.  M'mmm.  Hey, is something wrong?	Annie Hall 
ALVY	 (Kissing her) No, no, no, what ... You can once, you can live without it once.  Come on.	ANNIE	 Oh, no, Alvy, please. Alvy, please. (Laughing and making sounds) M'mrnm.	ALVY	 M'm, wait, I got a great idea. (He gets up and goes over to the closet, taking out a light bulb. He goes back to the bed and turns out the lamp on the night table) Hang in there for a second.  I got a little-little artifact.  A little erotic artifact, that-that I brought up from the city, which I think, uh, is gonna be perfect. (He turns the lamp back on, having replaced the bulb with the red one from the closet) I just ... there ... There's a little Old New Orleans ... essence.  Now-now we can go about our business here and we can even develop photographs if we want to.  There, now there. (He undresses and crawls into bed, taking Annie in his arms) M'mmm.  M'mmm.  Hey, is something wrong?	ANNIE		Annie Hall 
ANNIE	 Oh, no, Alvy, please. Alvy, please. (Laughing and making sounds) M'mrnm.	ALVY	 M'm, wait, I got a great idea. (He gets up and goes over to the closet, taking out a light bulb. He goes back to the bed and turns out the lamp on the night table) Hang in there for a second.  I got a little-little artifact.  A little erotic artifact, that-that I brought up from the city, which I think, uh, is gonna be perfect. (He turns the lamp back on, having replaced the bulb with the red one from the closet) I just ... there ... There's a little Old New Orleans ... essence.  Now-now we can go about our business here and we can even develop photographs if we want to.  There, now there. (He undresses and crawls into bed, taking Annie in his arms) M'mmm.  M'mmm.  Hey, is something wrong?	ANNIE		ALVY	 I don't know.  You- It's like you're- you're removed.	Annie Hall 
ANNIE	 Let's just do it, all right?	ALVY	 (Kissing and caressing Annie) Is it my imagination or are you just going through the motions?	ANNIE'S SPIRIT	 Alvy, do you remember where I put my drawing pad?  Because while you two are doing that, I think I'm gonna do some drawing.	ALVY	 (Reacting) You see, that's what I call removed.	Annie Hall 
ANNIE'S SPIRIT	 Alvy, do you remember where I put my drawing pad?  Because while you two are doing that, I think I'm gonna do some drawing.	ALVY	 (Reacting) You see, that's what I call removed.	ANNIE	 Oh, you have my body.	ALVY	 Yeah, but that's not-that's no good. I want the whole thing.	Annie Hall 
ALVY	 Yeah, but that's not-that's no good. I want the whole thing.	ANNIE	 (Sighing) Well, I need grass and so do you.	ALVY	 Well, it ruins it for me if you have grass (Clearing his throat) because, you know, I'm, like, a comedian-	ANNIE	 (Overlapping) M'hm.	Annie Hall 
ANNIE	 (Sighing) Well, I need grass and so do you.	ALVY	 Well, it ruins it for me if you have grass (Clearing his throat) because, you know, I'm, like, a comedian-	ANNIE	 (Overlapping) M'hm.	ALVY	 (Overlapping) -so if I get a laugh from a person who's high, it doesn't count.  You know-'cause they're always laughin'.	Annie Hall 
ALVY	 Well, it ruins it for me if you have grass (Clearing his throat) because, you know, I'm, like, a comedian-	ANNIE	 (Overlapping) M'hm.	ALVY	 (Overlapping) -so if I get a laugh from a person who's high, it doesn't count.  You know-'cause they're always laughin'.	ANNIE	 Were you always funny?	Annie Hall 
ANNIE	 (Overlapping) M'hm.	ALVY	 (Overlapping) -so if I get a laugh from a person who's high, it doesn't count.  You know-'cause they're always laughin'.	ANNIE	 Were you always funny?	ALVY	 Hey, what is this-an interview?  We're supposed to be making love.	Annie Hall 
AGENT	 This guy is naturally funny.  I think he can write for you.	COMIC	 (Buttoning his jacket) Yeah, yeah.  Hey, kid, he tells me you're really good.  Well, lemme explain a little bit o' how I work.  You know, you can tell right off the bat that I don't look like a funny guy when I come-you know, like some o' the guys that come out.  You know, right away (Gesturing) they're gonna tell yuh their stories, you're gonna fall down, but I gotta be really talented.  Material's gotta be sensational for me 'cause I work, you know, with very, very ... Come on, I'm kinda classy, you know what I mean?  Uh ... uh ... lemme explain.  For instance, I open with an opening song.  A musical start like (Ad-lib singing) and I walk out (Ad-lib singing) "Place looks wonderful from here and you folks look wonderful from here! (Singing) "And seein' you there With a smile on your face Makes me shout This must be the place." Then I stop right in the middle and then I open with some jokes.  Now, that's where I need you, right there.  For instance, like I say, "Hey, I just got back from Canada, you know, they speak a lotta French up there.  The only way to remember Jeanne d'Arc means the light's out in the bathroom!" (He laughs.  Seated Alvy looks up smiling) "Oh, I met a big lumberjack ..."	ALVY'S VOICE	 (To himself) Jesus, this guy's pathetic.	COMIC	 (Overlapping above speech) ... big lumberjack ...	Annie Hall 
COMIC	 (Buttoning his jacket) Yeah, yeah.  Hey, kid, he tells me you're really good.  Well, lemme explain a little bit o' how I work.  You know, you can tell right off the bat that I don't look like a funny guy when I come-you know, like some o' the guys that come out.  You know, right away (Gesturing) they're gonna tell yuh their stories, you're gonna fall down, but I gotta be really talented.  Material's gotta be sensational for me 'cause I work, you know, with very, very ... Come on, I'm kinda classy, you know what I mean?  Uh ... uh ... lemme explain.  For instance, I open with an opening song.  A musical start like (Ad-lib singing) and I walk out (Ad-lib singing) "Place looks wonderful from here and you folks look wonderful from here! (Singing) "And seein' you there With a smile on your face Makes me shout This must be the place." Then I stop right in the middle and then I open with some jokes.  Now, that's where I need you, right there.  For instance, like I say, "Hey, I just got back from Canada, you know, they speak a lotta French up there.  The only way to remember Jeanne d'Arc means the light's out in the bathroom!" (He laughs.  Seated Alvy looks up smiling) "Oh, I met a big lumberjack ..."	ALVY'S VOICE	 (To himself) Jesus, this guy's pathetic.	COMIC	 (Overlapping above speech) ... big lumberjack ...	ALVY'S VOICE	 (To himself while the comic continues his routine) Look at him mincing around, like he thinks he's real cute.  You wanna throw up.  If only I had the nerve to do my own jokes.  I don't know how much longer I can keep this smile frozen on my face. I'm in the wrong business, I know it.	Annie Hall 
